# Description of the experiment:,,,,,,
#,,,,,,
# - We generate the costs to up to 10.000 tasks for num_resources ∈ {10,25,40,55,70,85, 100}.
# All costs follow linear functions with RNG seeds [100..199].,,,,,,
# - We schedule from 1.000 to 10.000 tasks in increments of 100.,,,,,,
# - We run OLAR_Adapted, Fed-LBAP, FedAvg, Random, and Proportional.,,
# - We use no lower or upper limits.,,,,,,
# - Every result is verified and logged to a CSV file.,,,,,,
Scheduler_Name,Num_Tasks,Num_Resources,Num_Selected_Resources,Makespan,Energy_Consumption,Training_Accuracy
OLAR_Adapted,10,10,5,9.6499432184984,20.0864053457625,0.00125540033411
MC²MKP_Adapted,10,10,2,14.8878976142152,17.4053502646624,0.001087834391541
MEC,10,10,5,9.6499432184984,20.0864053457625,0.00125540033411
MEC_With_Accuracy,10,10,5,9.6499432184984,20.0864053457625,0.00125540033411
ECMTC,10,10,2,14.8878976142152,17.4053502646624,0.001087834391541
ECMTC_With_Accuracy,10,10,2,17.4053502646624,14.8878976142152,0.001087834391541
OLAR_Adapted,20,10,9,12.5928129567766,34.086958197004,0.002130434887313
MC²MKP_Adapted,20,10,2,27.982783603507,21.5957137812358,0.001349732111327
MEC,20,10,9,12.5928129567766,34.086958197004,0.002130434887313
MEC_With_Accuracy,20,10,9,12.5928129567766,34.086958197004,0.002130434887313
ECMTC,20,10,2,27.982783603507,21.5957137812358,0.001349732111327
ECMTC_With_Accuracy,20,10,2,21.5957137812358,27.982783603507,0.001349732111327
OLAR_Adapted,30,10,10,17.3488198867914,44.6693625883311,0.002791835161771
MC²MKP_Adapted,30,10,2,41.0776695927989,25.7860772978092,0.001611629831113
MEC,30,10,10,17.3488198867914,44.6693625883311,0.002791835161771
MEC_With_Accuracy,30,10,10,17.3488198867914,44.6693625883311,0.002791835161771
ECMTC,30,10,2,41.0776695927989,25.7860772978092,0.001611629831113
ECMTC_With_Accuracy,30,10,2,25.7860772978092,41.0776695927989,0.001611629831113
OLAR_Adapted,40,10,10,20.2546032952066,57.6536076171769,0.003603350476074
MC²MKP_Adapted,40,10,2,54.1725555820908,29.9764408143826,0.001873527550899
MEC,40,10,10,20.2546032952066,57.6536076171769,0.003603350476074
MEC_With_Accuracy,40,10,10,20.2546032952066,57.6536076171769,0.003603350476074
ECMTC,40,10,2,54.1725555820908,29.9764408143826,0.001873527550899
ECMTC_With_Accuracy,40,10,2,29.9764408143826,54.1725555820908,0.001873527550899
OLAR_Adapted,50,10,10,23.7140821101307,68.4945110539491,0.004280906940872
MC²MKP_Adapted,50,10,2,67.2674415713827,34.166804330956,0.002135425270685
MEC,50,10,10,23.7140821101307,68.4945110539491,0.004280906940872
MEC_With_Accuracy,50,10,10,23.7140821101307,68.4945110539491,0.004280906940872
ECMTC,50,10,2,67.2674415713827,34.166804330956,0.002135425270685
ECMTC_With_Accuracy,50,10,2,34.166804330956,67.2674415713827,0.002135425270685
OLAR_Adapted,60,10,10,27.6307806824762,80.6771951489116,0.005042324696807
MC²MKP_Adapted,60,10,2,80.3623275606746,38.3571678475294,0.002397322990471
MEC,60,10,10,27.6307806824762,80.6771951489116,0.005042324696807
MEC_With_Accuracy,60,10,10,27.6307806824762,80.6771951489116,0.005042324696807
ECMTC,60,10,2,80.3623275606746,38.3571678475294,0.002397322990471
ECMTC_With_Accuracy,60,10,2,38.3571678475294,80.3623275606746,0.002397322990471
OLAR_Adapted,70,10,10,30.5683745383029,93.3056829015874,0.005831605181349
MC²MKP_Adapted,70,10,2,93.4572135499665,42.5475313641028,0.002659220710256
MEC,70,10,10,30.5683745383029,93.3056829015874,0.005831605181349
MEC_With_Accuracy,70,10,10,30.5683745383029,93.3056829015874,0.005831605181349
ECMTC,70,10,2,93.4572135499665,42.5475313641028,0.002659220710256
ECMTC_With_Accuracy,70,10,2,42.5475313641028,93.4572135499665,0.002659220710256
OLAR_Adapted,80,10,10,34.530226598153,103.412346458545,0.006463271653659
MC²MKP_Adapted,80,10,2,106.552099539258,46.7378948806762,0.002921118430042
MEC,80,10,10,34.530226598153,103.412346458545,0.006463271653659
MEC_With_Accuracy,80,10,10,34.530226598153,103.412346458545,0.006463271653659
ECMTC,80,10,2,106.552099539258,46.7378948806762,0.002921118430042
ECMTC_With_Accuracy,80,10,2,46.7378948806762,106.552099539258,0.002921118430042
OLAR_Adapted,90,10,10,38.4586923949405,113.923001583885,0.007120187598993
MC²MKP_Adapted,90,10,2,119.64698552855,50.9282583972496,0.003183016149828
MEC,90,10,10,38.4586923949405,113.923001583885,0.007120187598993
MEC_With_Accuracy,90,10,10,38.4586923949405,113.923001583885,0.007120187598993
ECMTC,90,10,2,119.64698552855,50.9282583972496,0.003183016149828
ECMTC_With_Accuracy,90,10,2,50.9282583972496,119.64698552855,0.003183016149828
OLAR_Adapted,10,25,5,9.48386413624041,44.4060703707616,0.002775379398173
MC²MKP_Adapted,10,25,2,14.8878976142152,41.1228366476754,0.00257017729048
MEC,10,25,5,9.48386413624041,43.9324931409376,0.002745780821309
MEC_With_Accuracy,10,25,5,9.48386413624041,43.9324931409376,0.002745780821309
ECMTC,10,25,2,14.8878976142152,41.1228366476754,0.00257017729048
ECMTC_With_Accuracy,10,25,2,41.1228366476754,14.8878976142152,0.00257017729048
OLAR_Adapted,20,25,12,10.0248755879871,58.3880005155972,0.003649250032225
MC²MKP_Adapted,20,25,2,27.982783603507,45.3132001642488,0.002832075010266
MEC,20,25,12,10.0248755879871,58.3880005155972,0.003649250032225
MEC_With_Accuracy,20,25,12,10.0248755879871,58.3880005155972,0.003649250032225
ECMTC,20,25,2,27.982783603507,45.3132001642488,0.002832075010266
ECMTC_With_Accuracy,20,25,2,45.3132001642488,27.982783603507,0.002832075010266
OLAR_Adapted,30,25,19,11.4953412581319,75.2806965337377,0.004705043533359
MC²MKP_Adapted,30,25,2,41.0776695927989,49.5035636808222,0.003093972730051
MEC,30,25,19,11.4953412581319,75.2806965337377,0.004705043533359
MEC_With_Accuracy,30,25,19,11.4953412581319,75.2806965337377,0.004705043533359
ECMTC,30,25,2,41.0776695927989,49.5035636808222,0.003093972730051
ECMTC_With_Accuracy,30,25,2,49.5035636808222,41.0776695927989,0.003093972730051
OLAR_Adapted,40,25,22,12.901293407807,86.9854486684201,0.005436590541776
MC²MKP_Adapted,40,25,2,54.1725555820908,53.6939271973956,0.003355870449837
MEC,40,25,22,12.901293407807,86.9854486684201,0.005436590541776
MEC_With_Accuracy,40,25,22,12.901293407807,86.9854486684201,0.005436590541776
ECMTC,40,25,2,54.1725555820908,53.6939271973956,0.003355870449837
ECMTC_With_Accuracy,40,25,2,53.6939271973956,54.1725555820908,0.003355870449837
OLAR_Adapted,50,25,24,14.8878976142152,97.512970087551,0.006094560630472
MC²MKP_Adapted,50,25,2,67.2674415713827,57.884290713969,0.003617768169623
MEC,50,25,24,14.8878976142152,97.512970087551,0.006094560630472
MEC_With_Accuracy,50,25,24,14.8878976142152,97.512970087551,0.006094560630472
ECMTC,50,25,2,67.2674415713827,57.884290713969,0.003617768169623
ECMTC_With_Accuracy,50,25,2,57.884290713969,67.2674415713827,0.003617768169623
OLAR_Adapted,60,25,25,16.7916177060417,108.852849422372,0.006803303088898
MC²MKP_Adapted,60,25,2,80.3623275606746,62.0746542305424,0.003879665889409
MEC,60,25,25,16.7916177060417,108.852849422372,0.006803303088898
MEC_With_Accuracy,60,25,25,16.7916177060417,108.852849422372,0.006803303088898
ECMTC,60,25,2,80.3623275606746,62.0746542305424,0.003879665889409
ECMTC_With_Accuracy,60,25,2,62.0746542305424,80.3623275606746,0.003879665889409
OLAR_Adapted,70,25,25,17.9009973184672,123.937163910838,0.007746072744427
MC²MKP_Adapted,70,25,2,93.4572135499665,66.2650177471158,0.004141563609195
MEC,70,25,25,17.9009973184672,123.937163910838,0.007746072744427
MEC_With_Accuracy,70,25,25,17.9009973184672,123.937163910838,0.007746072744427
ECMTC,70,25,2,93.4572135499665,66.2650177471158,0.004141563609195
ECMTC_With_Accuracy,70,25,2,66.2650177471158,93.4572135499665,0.004141563609195
OLAR_Adapted,80,25,25,19.8386921251102,136.957501590486,0.008559843849405
MC²MKP_Adapted,80,25,2,106.552099539258,70.4553812636892,0.004403461328981
MEC,80,25,25,19.8386921251102,136.957501590486,0.008559843849405
MEC_With_Accuracy,80,25,25,19.8386921251102,136.957501590486,0.008559843849405
ECMTC,80,25,2,106.552099539258,70.4553812636892,0.004403461328981
ECMTC_With_Accuracy,80,25,2,70.4553812636892,106.552099539258,0.004403461328981
OLAR_Adapted,90,25,25,21.4353406088611,150.730868959332,0.009420679309958
MC²MKP_Adapted,90,25,2,119.64698552855,74.6457447802626,0.004665359048766
MEC,90,25,25,21.4353406088611,150.730868959332,0.009420679309958
MEC_With_Accuracy,90,25,25,21.4353406088611,150.730868959332,0.009420679309958
ECMTC,90,25,2,119.64698552855,74.6457447802626,0.004665359048766
ECMTC_With_Accuracy,90,25,2,74.6457447802626,119.64698552855,0.004665359048766
